AVF
0.004
0.006
0.016
0.021
0.021
0.023
0.046
0.056
0.068
0.063
0.05
0.079
0.06
0.029
0.015
0.011
0.013
-0.017
0.021
0.023
0.035
0.134
0.11
0.061
0.007
-0.042
0.008
-0.007
-0.018
0.012
-0.005
0.018
0.008
-0.009
-0.008
-0.018
-0.001
-0.002
0.02
0.019
0.013
0.026
0.001
0.028
0.06
0.046
0.072
0.092
0.076
0.113
0.14
0.131
0.122
0.091
0.078
0.067
0.044
0.015
0.014
0.028
0.02
0.021
0.025
0.018
0.009
0.014
0.017
0.017
0.014
0.031
0.036
0.012
0.002
-0.004
0.006
0.001
0.005
0.02
-0.001
-0.002
0.005
-0.013
-0.029
-0.027
-0.015
-0.014
-0.009
-0.007
-0.005
-0.001
-0.011
-0.006
-0.002
-0.004
-0.012
-0.016
-0.015
-0.012
0.006
0.005
0.038
0.052
0.026
0.038
0.025
-0.005
-0.028
-0.045
-0.04
-0.041
-0.038
-0.033
-0.074
0.007
0.109
0.041
-0.008
-0.03
-0.033
-0.025
-0.025
-0.018
-0.023
-0.019
-0.022
-0.034
-0.037
-0.034
-0.017
-0.011
-0.021
-0.027
-0.032
-0.019
-0.017
-0.015
-0.01
0.002
0.024
0.036
0.068
0.083
0.085
0.101
0.092
0.079
0.067
0.047
0.032
0.013
-0.001
-0.016
-0.008
0.003
-0.002
-0.004
-0.014
-0.012
-0.01
0.001
0.014
0
-0.016
-0.012
-0.005
-0.024
-0.017
-0.019
-0.028
-0.005
-0.017
-0.018
-0.028
-0.027
-0.01
-0.035
-0.018
-0.009
-0.013
0.001
-0.011
-0.001
-0.012
-0.031
-0.027
-0.032
-0.012
-0.026
-0.021
-0.002
-0.015
-0.001
0.003
0.034
0.049
0.028
0.026
0.014
0.014
-0.014
-0.044
-0.021
-0.03
-0.041
-0.026
-0.033
0.034
0.116
0.064
0.009
0.014
-0.004
-0.014
-0.01
-0.013
-0.019
-0.017
-0.003
-0.02
-0.009
0.015
-0.02
-0.008
0.026
0.024
0.022
0.014
0.024
0.022
0.017
0.027
0.055
0.083
0.082
0.112
0.127
0.138
0.131
0.101
0.088
0.059
0.048
0.021
0.027
0.016
0.002
0.047
0.041
0.029
0.022
0.021
0.023
0.023
0.025
-0.003
0.002
0.025
0.036
0.044
0.032
0.019
0.001
0.017
0.025
-0.001
0.011
0.016
0.008
-0.004
-0.017
0.007
0.021
0.006
0.008
0.01
-0.007
-0.001
0.018
0.015
0.011
0.003
-0.014
0.022
0.038
0.039
0.057
0.051
0.071
0.054
0.071
0.08
0.022
