III
0.064
0.065
0.076
0.08
0.072
0.071
0.106
0.104
0.092
0.081
0.066
0.08
0.069
0.086
0.093
0.088
0.084
0.037
0.097
0.113
0.112
0.113
-0.124
-0.124
0.008
-0.003
0.074
0.059
0.052
0.082
0.085
0.108
0.068
0.07
0.061
0.04
0.065
0.061
0.095
0.097
0.083
0.089
0.038
0.067
0.121
0.107
0.103
0.104
0.088
0.102
0.13
0.126
0.127
0.113
0.102
0.1
0.089
0.087
0.098
0.113
0.116
0.113
0.108
0.116
0.103
0.103
0.11
0.098
0.099
0.1
0.116
0.105
0.074
0.074
0.069
0.066
0.083
0.092
0.084
0.071
0.084
0.074
0.041
0.051
0.072
0.07
0.075
0.076
0.074
0.075
0.048
0.05
0.057
0.049
0.062
0.058
0.05
0.048
0.072
0.068
0.064
0.088
0.075
0.079
0.055
0.03
0.025
0.014
0.033
0.023
0.025
0.043
-0.009
0.06
0.005
-0.219
-0.134
-0.008
0.025
0.036
0.029
0.06
0.054
0.049
0.046
0.032
0.023
0.037
0.065
0.055
0.039
0.04
0.034
0.047
0.036
0.03
0.023
0.026
0.071
0.079
0.077
0.074
0.066
0.065
0.057
0.056
0.061
0.069
0.063
0.051
0.045
0.035
0.049
0.067
0.06
0.058
0.053
0.049
0.05
0.069
0.086
0.073
0.064
0.066
0.054
0.035
0.035
0.017
0.024
0.044
0.027
0.032
0.013
0.026
0.045
-0.007
0.019
0.033
0.025
0.051
0.024
0.032
0.029
0.006
0.002
-0.006
0.036
0.009
0.022
0.062
0.034
0.05
0.031
0.039
0.052
0.022
0.026
0.012
0.018
0
-0.025
0.03
0.008
-0.01
0.025
0.007
0.047
-0.059
-0.216
-0.103
0.028
0.049
0.033
0.024
0.044
0.031
0.033
0.058
0.036
0.035
0.022
-0.008
0.035
0.062
0.05
0.058
0.053
0.06
0.065
0.045
0.044
0.048
0.07
0.081
0.07
0.072
0.088
0.08
0.065
0.067
0.047
0.053
0.063
0.063
0.044
0.038
0.075
0.073
0.065
0.068
0.056
0.063
0.071
0.059
0.042
0.056
0.078
0.066
0.056
0.049
0.037
0.025
0.037
0.037
0.03
0.04
0.052
0.065
0.026
-0.004
0.017
0.045
0.037
0.022
0.037
0.017
0.023
0.044
0.024
0.025
0.021
0.002
0.03
0.054
0.035
0.05
0.063
0.047
0.027
0.022
0.018
0.015
0.023
0.012
0.017
0.022
0.017
-0.014
0.046
0.023
-0.204
-0.16
-0.023
0.001
0.045
0.011
0.007
0.041
0.022
0.01
0.04
0.047
0.044
0.046
0.045
0.044
0.031
0.023
-0.003
-0.008
0.007
0.028
0.021
0.014
0.059
0.068
0.062
0.067
0.082
0.084
0.076
0.077
0.081
0.091
0.061
0.042
0.036
0.02
0.029
0.042
0.016
0.01
0.034
0.02
0.06
0.079
0.05
0.07
0.045
0.035
0.041
0.027
0.055
0.06
0.049
0.037
0.047
0.035
0.032
0.041
0.02
0.038
0.012
0.021
0.048
0.054
0.027
-0.006
0.016
0.003
0.027
0.016
0.003
0.031
0.027
0.013
0.022
0.052
0.029
0.034
0.018
0.007
0.039
-0.004
0.019
0.003
-0.027
-0.007
-0.026
-0.004
0.01
0.076
0.006
-0.206
-0.17
-0.024
-0.002
0.002
0.015
0.013
0.038
0.005
-0.002
0.039
0.014
0.006
0.019
-0.007
0.018
0.05
0.024
0.011
0.022
0.051
0.037
0.024
0.038
0.069
0.08
0.02
0.045
0.101
0.068
0.053
0.062
0.049
0.035
0.025
0.021
0.023
0.043
0.065
0.05
0.047
0.018
0.026
0.064
0.047
0.057
0.045
0.046
0.066
0.051
0.047
0.04
0.032
0.024
0.009
0.02
0.03
0.011
-0.008
0.008
0.023
0.019
0.019
0.014
0.016
0.011
-0.006
-0.022
-0.025
-0.011
-0.004
0.011
0.029
0.02
0.01
0.001
-0.011
-0.01
-0.001
0.015
0.035
0.011
-0.025
-0.028
-0.044
-0.041
-0.033
-0.036
-0.036
-0.032
0.026
-0.009
-0.022
0.039
