i
3.3587441
3.3446734
3.3655913
3.3470497
3.314576
3.303492
3.3016753
3.3102098
3.310864
3.3108568
3.310841
3.3096488
3.310852
3.309225
3.3089685
3.3107414
3.310868
3.310905
3.310969
3.3108683
3.3112366
3.3118966
3.311266
3.3163424
3.3184707
3.313529
3.316353
3.3132017
3.3160367
3.3123646
3.314613
3.311811
3.3113112
3.3111343
3.3109162
3.3109605
3.3109248
3.3109322
3.3109245
3.3110154
3.3109195
3.3108742
3.3109465
3.310876
3.310877
3.3108711
3.3148193
3.3867033
3.4230595
3.3539193
3.3145804
3.3155622
3.3113365
3.3269482
3.3108692
3.3108644
3.3108642
3.2953212
3.2992427
3.3108644
3.3081822
3.3108644
3.3099377
3.3108633
3.2833729
3.3077264
3.3095388
3.325328
3.4191446
3.4274874
3.42482
3.3820486
3.4166422
3.3331041
3.3398824
3.3219519
3.3403692
3.334239
3.342202
3.3125033
3.3219028
3.3232875
3.3279002
3.3673973
3.3260946
3.3519597
3.2978387
3.2964966
3.2925408
3.2966475
3.299187
3.3108287
3.3095748
3.3079417
3.3079963
3.3073092
3.3057933
3.3066187
3.3044515
3.3108075
3.3104527
3.310216
3.3103766
3.3091104
3.3101084
3.3101573
3.3116798
3.3239927
3.3134284
3.3116686
3.3132823
3.3119073
3.3131142
3.3109584
3.3122845
3.3110912
3.3126962
3.3116417
3.3113585
3.3111455
3.311219
3.313071
3.3112607
3.3116581
3.3112001
3.3113594
3.3112702
3.3114195
3.3113556
3.3109596
3.3117335
3.310916
3.3113732
3.310943
3.3109775
3.3108768
3.3108807
3.3111355
3.3378828
3.425195
3.4263432
3.3803992
3.358219
3.3083565
3.3119168
3.3108966
3.3108647
3.3108644
3.3108644
3.2828739
3.3108644
3.3095016
3.3108637
3.3108644
3.3108644
3.3108642
3.2991993
3.306077
3.3110106
3.3516867
3.4271493
3.426979
3.3625135
3.425284
3.4227474
3.3378544
3.3154633
3.3851988
3.370732
3.3235333
3.3213418
3.3387072
3.344904
3.3392942
3.317213
3.3344426
3.3146563
3.3101428
3.3160868
3.3109457
3.3053682
3.308576
3.306921
3.310793
3.3108387
3.3090465
3.3106356
3.3107882
3.309012
3.3104634
3.3097386
3.3108444
3.3108673
3.3104784
3.3109179
3.3109717
3.3105443
3.3112931
3.3110633
3.3112545
3.3145204
3.3145463
3.3144581
3.3150315
3.3158312
3.3132577
3.3131404
3.3125544
3.3131309
3.3112826
3.3132286
3.3112972
3.3124018
3.3113573
3.312171
3.3109765
3.3111324
3.3109925
3.311118
3.3109288
3.310896
3.3109004
3.310874
3.310906
3.310875
3.3108907
3.3108752
3.310976
3.3108847
3.3109343
3.3109863
3.3108888
3.3108964
3.3108945
3.3109622
3.3110266
3.415113
3.4276626
3.3661065
3.3900661
3.310874
3.311213
3.310865
3.3112197
3.3108644
3.3108644
3.3108644
3.3108644
3.3108642
3.3108642
3.3108642
3.3108644
3.310864
3.3108664
3.3108776
3.3128214
3.3538327
3.4251611
3.4254134
3.4046745
3.408729
3.3695421
3.3243709
3.332363
3.3189735
3.319168
3.3239446
3.3608823
3.3490095
3.346167
3.422072
3.3414085
3.2849193
3.310318
3.2954383
3.2842596
3.2947662
3.2879395
3.3106751
3.3100464
3.3033442
3.3043017
3.30478
3.3027327
3.3063495
3.3049479
3.3108294
3.31113
3.3100111
3.3097959
3.3108735
3.3112469
3.3121152
3.317635
3.3148532
3.314365
3.3110821
3.3132653

