avl
-262.6412559
-261.6553266
-259.1344087
-257.6529503
-256.6854241
-258.1965079
-258.1983247
-258.6897902
-259.189136
-259.6891432
-259.1891589
-260.1903512
-260.1891479
-260.1907749
-259.6910315
-260.1892586
-260.689132
-260.189095
-260.1890309
-260.6891317
-260.6887634
-260.6881034
-260.6887341
-260.6836576
-260.6815293
-260.686471
-260.1836469
-259.6867983
-260.6839633
-261.1876354
-261.1853869
-261.188189
-262.6886888
-262.1888657
-261.1890838
-260.1890395
-260.1890752
-259.6890678
-260.1890755
-261.1889846
-260.6890805
-261.1891258
-261.1890535
-260.1891241
-260.6891229
-268.6891289
-279.1851807
-289.1132967
-277.5769405
-250.1460807
-246.1854196
-254.6844378
-258.6886635
-259.6730518
-260.6891308
-261.6891356
-262.1891358
-262.2046788
-262.7007573
-262.6891356
-262.6918178
-263.1891356
-263.6900623
-264.1891367
-264.7166271
-265.1922736
-265.1904612
-266.1746719
-267.0808554
-268.0725126
-269.5751801
-270.1179514
-270.5833578
-272.1668959
-272.6601176
-273.1780481
-273.1596308
-272.665761
-272.1577981
-269.1874967
-267.1780972
-264.1767125
-261.6720998
-259.6326027
-258.1739054
-257.1480403
-256.7021613
-256.2035034
-255.7074592
-255.7033525
-255.2008131
-254.6891713
-254.6904252
-254.6920583
-255.6920037
-254.1926908
-254.6942067
-254.1933813
-254.1955485
-255.1891925
-254.6895473
-254.689784
-254.6896234
-254.6908896
-255.6898916
-254.6898427
-255.1883202
-255.1760073
-255.1865716
-255.1883314
-255.1867177
-255.1880927
-255.1868858
-255.6890416
-256.1877155
-256.1889088
-256.1873038
-256.6883583
-257.1886415
-257.1888545
-258.188781
-257.686929
-257.6887393
-257.1883419
-256.6887999
-256.6886406
-256.1887298
-255.6885805
-255.1886444
-254.6890404
-255.1882665
-255.1890841
-255.6886268
-255.6890571
-255.6890225
-255.6891232
-257.6891193
-265.6888645
-279.6621172
-285.574805
-263.5736568
-240.1196008
-247.1417811
-254.6916435
-256.6880832
-257.1891034
-257.6891353
-257.6891356
-257.1891356
-257.2171261
-257.6891356
-258.6904984
-259.1891363
-259.6891356
-260.1891356
-260.6891358
-261.2008007
-261.693923
-262.1889894
-262.1483133
-263.5728507
-265.0730209
-265.6374865
-266.0747161
-267.5772526
-268.6621456
-270.1845367
-270.6148012
-270.6292679
-269.6764667
-269.1786582
-267.1612928
-265.6550961
-263.6607058
-261.1827869
-259.1655574
-257.1853437
-257.1898572
-256.1839132
-255.6890543
-254.6946318
-254.6914239
-255.193079
